                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,           val/ave_loss,                   mIOU,         train/ave_loss,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     74,                 1.1612,                0.99017,                 1.6938,                0.79979,                 0.7521,                0.84285,                0.60755,                 1.0457,                0.81714,                  1.603,                0.01161,                0.71143,              0.0080496,                 10.675,               0.084405,             0.00086384,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.1573,                0.99468,                 1.6799,                 0.7554,                0.75306,                0.83527,                0.60578,                 1.0377,                0.84689,                 1.5964,                0.01011,                0.71146,              0.0078214,                 10.675,               0.084405,             0.00085284,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.1405,                0.97943,                 1.6647,                0.80002,                 0.7401,                0.84465,                0.60354,                 1.0683,                0.82926,                 1.6133,                 0.0143,                0.68912,              0.0080139,                 10.675,               0.084405,             0.00084184,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.1455,                0.99244,                 1.6748,                 0.8121,                0.76134,                0.85268,                0.61243,                 1.0591,                0.80723,                 1.6077,                0.01189,                0.68501,              0.0074036,                 10.675,               0.084405,             0.00083083,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.1528,                0.99543,                  1.676,                0.81711,                0.74673,                 0.8433,                0.60617,                 1.0417,                0.84135,                 1.6048,                0.01266,                0.70223,              0.0066072,                 10.675,               0.084405,             0.00081983,             0.00081983,             0.00081983,             0.00081983
                     79,                 1.1523,                0.98694,                  1.679,                0.79511,                 0.7641,                0.83903,                0.60833,                 1.0453,                0.81679,                 1.6062,                0.01047,                0.71201,              0.0067071,                 10.675,               0.084405,             0.00080883,             0.00080883,             0.00080883,             0.00080883
                     80,                 1.1493,                0.98362,                 1.6772,                0.80419,                0.74254,                0.83629,                0.59967,                 1.0492,                0.83967,                 1.6345,                0.01232,                0.71492,              0.0070265,                 10.675,               0.084405,             0.00079783,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.1387,                0.98237,                  1.665,                0.80829,                0.76341,                0.84426,                0.61163,                 1.0169,                0.81039,                 1.5753,                0.01199,                0.70799,              0.0067333,                 10.675,               0.084405,             0.00078682,             0.00078682,             0.00078682,             0.00078682
                     82,                 1.1289,                0.97022,                 1.6498,                0.76985,                0.78092,                0.84085,                0.61117,                 1.0391,                0.82481,                 1.5903,                0.01115,                0.70409,              0.0072723,                 10.675,               0.084405,             0.00077582,             0.00077582,             0.00077582,             0.00077582
                     83,                 1.1108,                0.97133,                 1.6495,                0.78631,                0.76792,                 0.8515,                0.61858,                 1.0255,                0.79654,                 1.5883,                0.01231,                0.71296,              0.0070904,                 10.675,               0.084405,             0.00076482,             0.00076482,             0.00076482,             0.00076482
                     84,                 1.1221,                0.96271,                 1.6458,                0.78608,                0.78801,                0.85669,                0.61916,                 1.0337,                0.79466,                 1.5792,                0.01579,                0.70625,              0.0080637,                 10.675,               0.084405,             0.00075382,             0.00075382,             0.00075382,             0.00075382
                     85,                 1.1273,                0.96351,                 1.6524,                0.81923,                0.75876,                0.85502,                 0.6183,                  1.035,                0.80628,                 1.6049,                0.01293,                0.70027,              0.0069979,                 10.675,               0.084405,             0.00074282,             0.00074282,             0.00074282,             0.00074282
                     86,                 1.1318,                0.96817,                 1.6443,                0.73706,                0.78581,                0.84326,                0.61214,                 1.0163,                0.81402,                 1.5678,                 0.0142,                0.70511,              0.0078185,                 10.675,               0.084405,             0.00073181,             0.00073181,             0.00073181,             0.00073181
                     87,                 1.1093,                0.96021,                 1.6416,                 0.7891,                0.75944,                0.84448,                0.61428,                 1.0174,                0.80167,                 1.5849,                0.01132,                 0.7113,              0.0068395,                 10.675,               0.084405,             0.00072081,             0.00072081,             0.00072081,             0.00072081
                     88,                 1.1047,                0.94363,                 1.6349,                0.79354,                0.80176,                 0.8649,                0.62914,                 1.0059,                0.77352,                 1.5579,                0.01177,                0.71822,              0.0071557,                 10.675,               0.084405,             0.00070981,             0.00070981,             0.00070981,             0.00070981
